Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Maximum Operating Temperature,Thermal Conductivity,Product,Type,Package / Case,Material,Breakdown Voltage,Color,Minimum Operating Temperature,Length,Width,Thickness,Tensile Strength,Flammability Rating,Series,Packaging
490-AF500-265005,AF500-265005,CUI Devices,https://www.mouser.com/datasheet/2/670/af500-1776536.pdf,9  In Stock,$48.23,RoHS Compliant,,https://www.mouser.com/ProductDetail/CUI-Devices/AF500-265005?qs=PqoDHHvF648I1jETzgMJwA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AF500-265005&utm_content=CUI-Devices,+ 125 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Non-Silicone Elastomer,2.5 kVAC,Gray,- 45 C,26.25 mm,50 mm,0.5 mm,30 psi,UL 94 V-0,AF500,
667-EYG-S0309ZLMF,EYG-S0309ZLMF,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,47  In Stock,$4.98,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-S0309ZLMF?qs=UwjGKF2Bi25W4DluvPgYYg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-S0309ZLMF&utm_content=Panasonic,+ 400 C,20 W/m-K,Thermally Conductive Graphite Sheet,Pyrolytic Graphite Sheet,,Graphite,,Gray,- 55 C,32 mm,92 mm,0.2 mm,600 kPa,UL 94 V-0,Soft-PGS,Bulk
667-EYG-S0613ZLSE,EYG-S0613ZLSE,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,5  In Stock,$11.97,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-S0613ZLSE?qs=UwjGKF2Bi26aejQYb8XW2g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-S0613ZLSE&utm_content=Panasonic,+ 400 C,20 W/m-K,Thermally Conductive Graphite Sheet,Pyrolytic Graphite Sheet,,Graphite,,Gray,- 55 C,61 mm,127.5 mm,0.2 mm,600 kPa,UL 94 V-0,Soft-PGS,Bulk
667-EYG-S0925ZLWA,EYG-S0925ZLWA,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,7  In Stock,$29.57,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-S0925ZLWA?qs=UwjGKF2Bi25AqUPMlYCgWA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-S0925ZLWA&utm_content=Panasonic,+ 400 C,20 W/m-K,Thermally Conductive Graphite Sheet,Pyrolytic Graphite Sheet,,Graphite,,Gray,- 55 C,85 mm,246 mm,0.2 mm,600 kPa,UL 94 V-0,Soft-PGS,Bulk
739-A17883-10,A17883-10,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Laird_Performance_Materials_-_A18003-00_-_Tflex_HD-1635193.pdf,4  In Stock,$179.94,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17883-10?qs=l4Gc20tDgJLjSTeAxwgEaw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17883-10&utm_content=Laird-Performance-Materials,+ 150 C,6 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Teal,- 40 C,228.6 mm,228.6 mm,0.1 in,10 psi,UL 94 V-0,Tflex HD80000,Bulk
739-A17883-14,A17883-14,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Laird_Performance_Materials_-_A18003-00_-_Tflex_HD-1635193.pdf,2  In Stock,$251.44,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17883-14?qs=l4Gc20tDgJL2I1p40J4Lgw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17883-14&utm_content=Laird-Performance-Materials,+ 150 C,6 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Teal,- 40 C,228.6 mm,228.6 mm,0.14 in,10 psi,UL 94 V-0,Tflex HD80000,Bulk
951-GPHC5.0-4002-816,GPHC5.0-0.040-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-HC5000-en_GL.pdf,642  In Stock,$111.84,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GPHC5.0-0.040-02-0816?qs=N2Tevpb%252BvoaEAnYmIg8CYQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GPHC5.0-0.040-02-0816&utm_content=Bergquist-Company,+ 200 C,5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,5 kVAC,Grey,- 60 C,406.4 mm,203.2 mm,1.02 mm,17.5 psi,UL 94 V-0,HC 5.0 / TGP HC5000,
739-A17883-11,A17883-11,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Laird_Performance_Materials_-_A18003-00_-_Tflex_HD-1635193.pdf,2  In Stock,$201.88,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17883-11?qs=l4Gc20tDgJIfQpusbNYCug%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17883-11&utm_content=Laird-Performance-Materials,+ 150 C,6 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Teal,- 40 C,228.6 mm,228.6 mm,0.11 in,10 psi,UL 94 V-0,Tflex HD80000,Bulk
667-EYG-R0611ZLWH,EYG-R0611ZLWH,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,7  In Stock,$11.21,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0611ZLWH?qs=81r%252BiQLm7BTC5KmjFcpqmw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0611ZLWH&utm_content=Panasonic,+ 400 C,250 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,106 mm,60 mm,0.25 mm,600 kPa,UL 94 V-0,EYGR,Bulk
710-40114005,40114005,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40114005.pdf,14  In Stock,$8.20,RoHS Compliant,,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40114005?qs=e8oIoAS2J1Q8uO7pGp1N4w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40114005&utm_content=Wurth-Elektronik,+ 180 C,4 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Purple,- 50 C,100 mm,100 mm,0.51 mm,,,WE-TGF,Bulk
739-A17653-04,A17653-04,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A17758_00_Tflex_HD700_12_01_21-2933084.pdf,10  In Stock,$48.96,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17653-04?qs=YCa%2FAAYMW022gTxMKpr8aw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17653-04&utm_content=Laird-Performance-Materials,+ 200 C,5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Pink,- 50 C,228.6 mm,228.6 mm,1.01 mm,10 psi,UL 94 V-0,HD700,Bulk
739-A17690-04,A17690-04,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A17758_00_Tflex_HD700_12_01_21-2933084.pdf,31  In Stock,$53.88,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17690-04?qs=1mbolxNpo8fR%2F12XIG0LIw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17690-04&utm_content=Laird-Performance-Materials,+ 200 C,5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Pink,- 50 C,228.6 mm,228.6 mm,1.01 mm,10 psi,UL 94 V-0,HD700,Bulk
951-GPHC5.0-2002-816,GPHC5.0-0.020-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-HC5000-en_GL.pdf,319  In Stock,$118.57,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GPHC5.0-0.020-02-0816?qs=N2Tevpb%252BvoZPdMobq5%252BdCA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GPHC5.0-0.020-02-0816&utm_content=Bergquist-Company,+ 200 C,5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,5 kVAC,Violet,- 60 C,406.4 mm,203.2 mm,0.5 mm,17.5 psi,UL 94 V-0,HC 5.0 / TGP HC5000,
667-EYG-S0811ZLWG,EYG-S0811ZLWG,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,16  In Stock,$11.17,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-S0811ZLWG?qs=UwjGKF2Bi252V0pBWisuYw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-S0811ZLWG&utm_content=Panasonic,+ 400 C,20 W/m-K,Thermally Conductive Graphite Sheet,Pyrolytic Graphite Sheet,,Graphite,,Gray,- 55 C,78 mm,108 mm,0.2 mm,600 kPa,UL 94 V-0,Soft-PGS,Bulk
667-EYG-S1212ZLGC,EYG-S1212ZLGC,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,6  In Stock,$22.30,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-S1212ZLGC?qs=UwjGKF2Bi27WWL7i6nw9Pw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-S1212ZLGC&utm_content=Panasonic,+ 400 C,20 W/m-K,Thermally Conductive Graphite Sheet,Pyrolytic Graphite Sheet,,Graphite,,Gray,- 55 C,120 mm,120 mm,0.2 mm,600 kPa,UL 94 V-0,Soft-PGS,Bulk
739-A17883-06,A17883-06,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Laird_Performance_Materials_-_A18003-00_-_Tflex_HD-1635193.pdf,11  In Stock,$119.92,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17883-06?qs=l4Gc20tDgJLq5O9DS%252BOsMQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17883-06&utm_content=Laird-Performance-Materials,+ 150 C,6 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Teal,- 40 C,228.6 mm,228.6 mm,0.06 in,10 psi,UL 94 V-0,Tflex HD80000,Bulk
739-A10538-17,A10538-17,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tputty_502_Data_Sheet_12-6-17-1634257.pdf,9  In Stock,$68.13,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A10538-17?qs=5ZzpJmy8o1mvpC1FqokzNQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A10538-17&utm_content=Laird-Performance-Materials,+ 200 C,3 W/m-K,Thermally Conductive Adhesive,Thermal Pad,,Boron Nitride,2 kVAC,White,- 45 C,229 mm,229 mm,0.51 mm,10 psi,UL 94 V-0,Tputty 502,Bulk
739-A12616-19,A12616-19,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,26  In Stock,$42.32,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A12616-19?qs=3IuyYncJTQG7DZgjvOQJ1w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A12616-19&utm_content=Laird-Performance-Materials,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Gap Filler Pad,,Boron Nitride,3 kVAC,Blue-Violet,- 45 C,229 mm,229 mm,0.508 mm,10 psi,UL 94 V-0,Tflex 600,Bulk
739-A12623-01,A12623-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,1  In Stock,$133.83,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A12623-01?qs=3IuyYncJTQHhWsWzC5HMsw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A12623-01&utm_content=Laird-Performance-Materials,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Gap Filler Pad,,Boron Nitride,5 kVAC,Blue-Violet,- 45 C,229 mm,229 mm,2.29 mm,15 psi,UL 94 V-0,Tflex 600,Bulk
951-GF3500S35-50CC,GF3500S35-00-60-50cc,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-FILLER-TGF-3600-en_GL.pdf,"2,094  In Stock",$84.51,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GF3500S35-00-60-50cc?qs=SE5nP5gvQKXRvDxFke%2FpdA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GF3500S35-00-60-50cc&utm_content=Bergquist-Company,+ 200 C,3.6 W/m-K,Liquid Gap Filler,,,Silicone,,Blue,- 60 C,,,,,UL 94 V-0,3500S35 / TGF 3600,Bulk
710-40105010,40105010,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40105010.pdf,1  In Stock,$88.81,RoHS Compliant,,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40105010?qs=e8oIoAS2J1S1YKsHOdigYQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40105010&utm_content=Wurth-Elektronik,+ 180 C,5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,White,- 50 C,400 mm,200 mm,1 mm,,,WE-TGF,Bulk
739-A16367-44,A16367-44,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_SF600_DS_071718-1634176.pdf,4  In Stock,$73.46,,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16367-44?qs=6E8igxPflKfsYknCUG0qhA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16367-44&utm_content=Laird-Performance-Materials,+ 125 C,3 W/m-K,Thermally Conductive Gap Pad,,,Boron Nitride,,Red (Rose),- 20 C,9 in,9 in,0.04 in,,UL 94 V-0,Tflex SF600,Bulk
739-A14568-01,A14568-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR-DS-Tflex_500_0110-1650982.pdf,11  In Stock,$136.44,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A14568-01?qs=3IuyYncJTQFbQ7Np1cGCMQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A14568-01&utm_content=Laird-Performance-Materials,+ 200 C,2.8 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,10 kVAC,Blue,- 45 C,229 mm,229 mm,3.556 mm,29 psi,UL 94 V-0,Tflex 500,Bulk
739-A12616-08,A12616-08,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,3  In Stock,$152.25,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A12616-08?qs=3IuyYncJTQHTTZaWvxAfVA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A12616-08&utm_content=Laird-Performance-Materials,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Gap Filler Pad,,Boron Nitride,3 kVAC,Blue-Violet,- 45 C,457 mm,457 mm,0.508 mm,10 psi,UL 94 V-0,Tflex 600,Bulk
739-A17536-02,A17536-02,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A17758_00_Tflex_HD700_12_01_21-2933084.pdf,3  In Stock,$99.62,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17536-02?qs=YCa%2FAAYMW00P8qm5ORl%252BaA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17536-02&utm_content=Laird-Performance-Materials,+ 200 C,5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,,Pink,- 50 C,457.2 mm,457.2 mm,0.51 mm,10 psi,UL 94 V-0,HD700,Bulk
739-A17747-02,A17747-02,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A17801_00_Tflex_P300_DS_110317-2933080.pdf,18  In Stock,$31.43,,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17747-02?qs=lYGu3FyN48fUPuxadoDrtg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17747-02&utm_content=Laird-Performance-Materials,+ 125 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Elastomer,5 kVAC,Purple,- 40 C,228.6 mm,228.6 mm,0.50 mm,10 psi,UL 94 V-0,P300,Bulk
490-SF400-404005,SF400-404005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf400-1779087.pdf,1  In Stock,$15.34,RoHS Compliant,,https://www.mouser.com/ProductDetail/CUI-Devices/SF400-404005?qs=PqoDHHvF649dHlLWmx3bYA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF400-404005&utm_content=CUI-Devices,+ 200 C,2.5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,2.5 kVAC,Gray,- 58 C,40 mm,40 mm,0.5 mm,25 psi,,SF400,
951-GP2200SF-125-816,GP2200SF-0.125-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-2200SF-en_GL.pdf,56  In Stock,$179.10,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP2200SF-0.125-02-0816?qs=N2Tevpb%252BvoY0c%2F8JlcwSGw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP2200SF-0.125-02-0816&utm_content=Bergquist-Company,+ 125 C,2 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Fiberglass,5 kVAC,Green,- 60 C,203.2 mm,1.333 ft,0.125 in,33 psi,UL 94 V-0,2200SF / TGP 2200SF,
739-A16872-09,A16872-09,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A16875-00_Tputty_403_DS_072018-1634085.pdf,16  In Stock,$74.80,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16872-09?qs=vmHwEFxEFR934MPcgGcs0A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16872-09&utm_content=Laird-Performance-Materials,+ 150 C,2.3 W/m-K,Thermally Conductive Liquid Gap Filler,Thermal Pad,,Silicone Elastomer,6 kVAC,White,- 45 C,,,,,UL 94 V-0,Tputty 403,Bulk
710-40015030,40015030,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40015030.pdf,6  In Stock,$20.26,RoHS Compliant,,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40015030?qs=e8oIoAS2J1SkDIEwZqaYrA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40015030&utm_content=Wurth-Elektronik,+ 180 C,5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,White,- 50 C,100 mm,100 mm,3 mm,,,WE-TGF,Bulk
710-40112005,40112005,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40112005.pdf,32  In Stock,$3.72,RoHS Compliant,,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40112005?qs=e8oIoAS2J1QPziaooPMvTA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40112005&utm_content=Wurth-Elektronik,+ 180 C,2 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Blue,- 50 C,100 mm,100 mm,0.51 mm,,,WE-TGF,Bulk
667-EYG-S0506ZLMM,EYG-S0506ZLMM,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,60  In Stock,$4.54,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-S0506ZLMM?qs=UwjGKF2Bi25GnxdDWx7Esw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-S0506ZLMM&utm_content=Panasonic,+ 400 C,20 W/m-K,Thermally Conductive Graphite Sheet,Pyrolytic Graphite Sheet,,Graphite,,Gray,- 55 C,48 mm,55 mm,0.2 mm,600 kPa,UL 94 V-0,Soft-PGS,Bulk
667-EYG-S182307DP,EYG-S182307DP,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C27-1093424.pdf,21  In Stock,$55.95,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-S182307DP?qs=MNPzkKEzRtQq%2FnIRzpLUbw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-S182307DP&utm_content=Panasonic,+ 400 C,1000 W/m-K,Thermally Conductive Graphite Sheet,Pyrolytic Graphite Sheet,,Graphite,,Gray,- 55 C,230 mm,180 mm,0.07 mm,600 kPa,UL 94 V-0,PGS,
739-A14422-01,A14422-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,1  In Stock,$196.68,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A14422-01?qs=3IuyYncJTQF%252BJSgjOj%2FAAw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A14422-01&utm_content=Laird-Performance-Materials,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Boron Nitride,5 kVAC,Blue-Violet,- 45 C,229 mm,229 mm,3.56 mm,15 psi,UL 94 V-0,Tflex 600,Bulk
739-A14412-01,A14412-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,24  In Stock,$65.22,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A14412-01?qs=3IuyYncJTQGqM0VjmE%2Fvow%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A14412-01&utm_content=Laird-Performance-Materials,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Boron Nitride,5 kVAC,Blue-Violet,- 45 C,229 mm,229 mm,1.02 mm,15 psi,UL 94 V-0,Tflex 600,Bulk
739-A12619-19,A12619-19,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,2  In Stock,$78.54,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A12619-19?qs=3IuyYncJTQFLQwhtmjdfIQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A12619-19&utm_content=Laird-Performance-Materials,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Gap Filler Pad,,Boron Nitride,5 kVAC,Blue-Violet,- 45 C,229 mm,229 mm,1.27 mm,,UL 94 V-0,Tflex 600,Bulk
739-A10096-01,A10096-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tpli_200_DS_07_19_18-1634153.pdf,5  In Stock,$111.46,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A10096-01?qs=3IuyYncJTQHsLqfY2fZc%2FQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A10096-01&utm_content=Laird-Performance-Materials,+ 200 C,6 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Boron Nitride,5 kVAC,Yellow,- 45 C,203 mm,203 mm,0.02 in,35 psi,UL 94 HB,Tpli 200,Bulk
739-A10264-01,A10264-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tpli_200_DS_07_19_18-1634153.pdf,9  In Stock,$79.88,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A10264-01?qs=wRBQ8ZgBZ9%252B7CdtnQop2Sg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A10264-01&utm_content=Laird-Performance-Materials,+ 200 C,6 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Boron Nitride,5 kVAC,Green,- 45 C,203 mm,203 mm,0.635 mm,35 psi,UL 94 V-0,Tpli 200,Bulk
710-402150101020,402150101020,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/402150101020.pdf,28  In Stock,$12.20,RoHS Compliant,,https://www.mouser.com/ProductDetail/Wurth-Elektronik/402150101020?qs=e8oIoAS2J1RgfToGda3KjQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=402150101020&utm_content=Wurth-Elektronik,+ 130 C,5 W/m-K,Phase Change Material,Thermal Pad,,Polyimide (PI),,Black,- 40 C,100 mm,100 mm,0.2 mm,,,WE-PCM,Bulk
739-A17775-06,A17775-06,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD400_Series-2488008.pdf,4  In Stock,$81.20,RoHS Compliant,End of Life,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17775-06?qs=1mbolxNpo8dv65PlTmUzOw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17775-06&utm_content=Laird-Performance-Materials,+ 200 C,4 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Blue,- 40 C,228.6 mm,228.6 mm,1.52 mm,10 psi,UL 94 V-0,HD400,Bulk
739-A14399-03,A14399-03,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR_DS_Tgrease_2500_0710-1634255.pdf,1  In Stock,$89.24,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A14399-03?qs=3IuyYncJTQEeJywQ5AxTRQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A14399-03&utm_content=Laird-Performance-Materials,+ 150 C,3.8 W/m-K,Thermally Conductive Grease,Thermal Grease,,Silicone-Free Grease,,White,- 55 C,,,,50 psi,UL 94 V-0,Tgrease 2500,Bulk
739-A17553-040,A17553-040,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/RFP_DS_COOLZORB_400_050119-2526313.pdf,2  In Stock,$121.09,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17553-040?qs=AgiijzuozROzJB3ti7xBKA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17553-040&utm_content=Laird-Performance-Materials,+ 175 C,2 W/m-K,Absorber Sheets & Tiles,Absorbing Sheet,,,,Gray,- 40 C,457.2 mm,457.2 mm,1.02 mm,,UL 94 V-0,COOLZORB,Bulk
951-GP3000S30-10002,GP3000S30-0.100-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-3000-en_GL.pdf,146  In Stock,$204.13,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP3000S30-0.100-02-0816?qs=jQRjkUoUCJee9%2Fi8Hd8jvg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP3000S30-0.100-02-0816&utm_content=Bergquist-Company,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,3 kVAC,Blue (Light Blue),- 60 C,406.4 mm,203.2 mm,2.54 mm,26 psi,UL 94 V-0,3000S30 / TGP 3000,
