Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,Length,Width,Thickness,Thermal Conductivity,Minimum Operating Temperature,Maximum Operating Temperature,,Product,Type,Material,Color,Tensile Strength,Flammability Rating,Packaging,Product Detail
951-LBSA200007000.85,LBSA2000-07-00-0.85G,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-LIQUI-BOND-TLB-SA2000-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,24.18876543,,,,2 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Liquid Adhesive,,Silicone Elastomer,Yellow,,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/LBSA2000-07-00-0.85G?qs=byeeYqUIh0NrUShCM4LCPg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LBSA2000-07-00-0.85G&utm_content=Bergquist-Company
490-SF500G-204005,SF500G-204005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf500g-1779119.pdf,Non-Stocked Lead-Time 5 Weeks,24.4434995,20 mm,40 mm,0.5 mm,3.5 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Blue,25 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF500G-204005?qs=PqoDHHvF648wW3YOCJRwIw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF500G-204005&utm_content=CUI-Devices
490-SF500G-204005,SF500G-204005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf500g-1779119.pdf,Non-Stocked Lead-Time 5 Weeks,24.4434995,20 mm,40 mm,0.5 mm,3.5 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Blue,25 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF500G-204005?qs=PqoDHHvF648wW3YOCJRwIw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF500G-204005&utm_content=CUI-Devices
490-SF600-313005,SF600-313005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf600-1779245.pdf,Non-Stocked Lead-Time 5 Weeks,28.06359979,31.25 mm,30 mm,0.5 mm,5 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Gray,20 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF600-313005?qs=PqoDHHvF648n%2FJWt6NoIEA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF600-313005&utm_content=CUI-Devices
490-SF600-313005,SF600-313005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf600-1779245.pdf,Non-Stocked Lead-Time 5 Weeks,28.06359979,31.25 mm,30 mm,0.5 mm,5 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Gray,20 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF600-313005?qs=PqoDHHvF648n%2FJWt6NoIEA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF600-313005&utm_content=CUI-Devices
490-SF600-313005,SF600-313005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf600-1779245.pdf,Non-Stocked Lead-Time 5 Weeks,28.06359979,31.25 mm,30 mm,0.5 mm,5 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Gray,20 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF600-313005?qs=PqoDHHvF648n%2FJWt6NoIEA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF600-313005&utm_content=CUI-Devices
490-AF500-313005,AF500-313005,CUI Devices,https://www.mouser.com/datasheet/2/670/af500-1776536.pdf,Non-Stocked Lead-Time 5 Weeks,28.93069483,31.25 mm,30 mm,0.5 mm,3 W/m-K,- 45 C,+ 125 C,,Thermally Conductive Gap Pad,Thermal Pad,Non-Silicone Elastomer,Gray,30 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/CUI-Devices/AF500-313005?qs=PqoDHHvF64%2FuZsWPRtlKNg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AF500-313005&utm_content=CUI-Devices
490-AF200-202005,AF200-202005,CUI Devices,https://www.mouser.com/datasheet/2/670/af200-1776166.pdf,Non-Stocked Lead-Time 5 Weeks,30.064456,20 mm,20 mm,0.5 mm,2 W/m-K,- 45 C,+ 125 C,,Thermally Conductive Gap Pad,,Non-Silicone Elastomer,White,30 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/AF200-202005?qs=PqoDHHvF64%252BjqnAuGlTjQQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AF200-202005&utm_content=CUI-Devices
490-AF200-301205,AF200-301205,CUI Devices,https://www.mouser.com/datasheet/2/670/af200-1776166.pdf,Non-Stocked Lead-Time 5 Weeks,31.25441778,30 mm,12 mm,0.5 mm,2 W/m-K,- 45 C,+ 125 C,,Thermally Conductive Gap Pad,,Non-Silicone Elastomer,White,30 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/AF200-301205?qs=PqoDHHvF64%2F1DyJYoQxyZw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AF200-301205&utm_content=CUI-Devices
490-SF600-204005,SF600-204005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf600-1779245.pdf,Non-Stocked Lead-Time 5 Weeks,31.5080015,20 mm,40 mm,0.5 mm,5 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Gray,20 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF600-204005?qs=PqoDHHvF64%252B9Sg%252BfwSWQaQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF600-204005&utm_content=CUI-Devices
490-SF400-153005,SF400-153005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf400-1779087.pdf,Non-Stocked Lead-Time 5 Weeks,31.77054578,15 mm,30 mm,0.5 mm,2.5 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Gray,25 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF400-153005?qs=PqoDHHvF64%2FHPiaSo4sTlA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF400-153005&utm_content=CUI-Devices
490-SF400-301205,SF400-301205,CUI Devices,https://www.mouser.com/datasheet/2/670/sf400-1779087.pdf,Non-Stocked Lead-Time 5 Weeks,33.76337333,30 mm,12 mm,0.5 mm,2.5 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Gray,25 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF400-301205?qs=PqoDHHvF648OrJ4gs5pabg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF400-301205&utm_content=CUI-Devices
951-SP20000.015-0054,SP2000-0.015-00-54,Bergquist Company,https://www.mouser.com/datasheet/2/48/BERGQUIST_SIL_PAD_TSP_3500_en_GL-3369847.pdf,641  In Stock,33.89333333,19.05 mm,12.7 mm,0.015 in,3.5 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Insulator,Thermal Pad,Fiberglass,White,50 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/SP2000-0.015-00-54?qs=N6LLV8I65%252Bcf%2Fvfpu2sTiw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SP2000-0.015-00-54&utm_content=Bergquist-Company
490-AF200-153005,AF200-153005,CUI Devices,https://www.mouser.com/datasheet/2/670/af200-1776166.pdf,Non-Stocked Lead-Time 5 Weeks,35.741864,15 mm,30 mm,0.5 mm,2 W/m-K,- 45 C,+ 125 C,,Thermally Conductive Gap Pad,,Non-Silicone Elastomer,White,30 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/AF200-153005?qs=PqoDHHvF649bdaNZLWc7jA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AF200-153005&utm_content=CUI-Devices
951-2167245,2167245,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-1500-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,36.09945313,,,0.254 mm,2 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Insulator,,,Green,7 MPa,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/2167245?qs=iLbezkQI%252BsiH8uuV2mFX9g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2167245&utm_content=Bergquist-Company
951-2167245,2167245,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-1500-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,36.09945313,,,0.254 mm,2 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Insulator,,,Green,7 MPa,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/2167245?qs=iLbezkQI%252BsiH8uuV2mFX9g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2167245&utm_content=Bergquist-Company
490-AF500-153005,AF500-153005,CUI Devices,https://www.mouser.com/datasheet/2/670/af500-1776536.pdf,Non-Stocked Lead-Time 5 Weeks,36.20064444,15 mm,30 mm,0.5 mm,3 W/m-K,- 45 C,+ 125 C,,Thermally Conductive Gap Pad,Thermal Pad,Non-Silicone Elastomer,Gray,30 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/CUI-Devices/AF500-153005?qs=PqoDHHvF648uRbEaUDPlTA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AF500-153005&utm_content=CUI-Devices
490-AF500-303005,AF500-303005,CUI Devices,https://www.mouser.com/datasheet/2/670/af500-1776536.pdf,Non-Stocked Lead-Time 5 Weeks,36.30100267,30 mm,30 mm,0.5 mm,3 W/m-K,- 45 C,+ 125 C,,Thermally Conductive Gap Pad,Thermal Pad,Non-Silicone Elastomer,Gray,30 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/CUI-Devices/AF500-303005?qs=PqoDHHvF6490Rz%2FycyXqqQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AF500-303005&utm_content=CUI-Devices
951-LBS3505072401200,LBSA3505-07-240-1200CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-LIQUI-BOND-TLB-SA3500-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,37.0053125,,,,3.5 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Liquid Adhesive,Thermal Conductive Gel Paste,Silicone Elastomer,"Brown, Gray",450 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/LBSA3505-07-240-1200CC?qs=byeeYqUIh0PC2fNmph9VnA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LBSA3505-07-240-1200CC&utm_content=Bergquist-Company
951-LBS3505102401200,LBSA3505-10-240-1200CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-LIQUI-BOND-TLB-SA3500-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,37.0053125,,,,3.5 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Liquid Adhesive,Thermal Conductive Gel Paste,Silicone Elastomer,"Brown, Gray",450 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/LBSA3505-10-240-1200CC?qs=byeeYqUIh0NWyR9PXgLxWg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LBSA3505-10-240-1200CC&utm_content=Bergquist-Company
490-AF500-204005,AF500-204005,CUI Devices,https://www.mouser.com/datasheet/2/670/af500-1776536.pdf,Non-Stocked Lead-Time 5 Weeks,37.0967,20 mm,40 mm,0.5 mm,3 W/m-K,- 45 C,+ 125 C,,Thermally Conductive Gap Pad,Thermal Pad,Non-Silicone Elastomer,Gray,30 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/CUI-Devices/AF500-204005?qs=PqoDHHvF64860A0xhORyKg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AF500-204005&utm_content=CUI-Devices
490-SF600G-313005,SF600G-313005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf600g-1779089.pdf,3  In Stock,38.10400981,31.25 mm,30 mm,0.5 mm,6 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Gray,15 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF600G-313005?qs=PqoDHHvF64%252BQ%2FacR4ZqFrg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF600G-313005&utm_content=CUI-Devices
490-SF600-303005,SF600-303005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf600-1779245.pdf,Non-Stocked Lead-Time 5 Weeks,38.10745067,30 mm,30 mm,0.5 mm,5 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Gray,20 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF600-303005?qs=PqoDHHvF648r6AQ%2FFiTCLA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF600-303005&utm_content=CUI-Devices
490-SF600-303005,SF600-303005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf600-1779245.pdf,Non-Stocked Lead-Time 5 Weeks,38.10745067,30 mm,30 mm,0.5 mm,5 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Gray,20 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF600-303005?qs=PqoDHHvF648r6AQ%2FFiTCLA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF600-303005&utm_content=CUI-Devices
490-SF600-303005,SF600-303005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf600-1779245.pdf,Non-Stocked Lead-Time 5 Weeks,38.10745067,30 mm,30 mm,0.5 mm,5 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Gray,20 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF600-303005?qs=PqoDHHvF648r6AQ%2FFiTCLA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF600-303005&utm_content=CUI-Devices
490-SF500-153005,SF500-153005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf500-1779055.pdf,Non-Stocked Lead-Time 5 Weeks,42.92464533,15 mm,30 mm,0.5 mm,3 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Blue,25 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF500-153005?qs=PqoDHHvF648e1tTzIY1T8A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF500-153005&utm_content=CUI-Devices
517-5519-0.5,5519-0.5,3M Electronic Specialty,https://www.mouser.com/datasheet/2/1/5519_3M_TCSIP_TDS-792788.pdf,358  In Stock,42.96,,,0.5 mm,5 W/m-K,- 50 C,+ 140 C,,Thermally Conductive Gap Pad,Thermally Conductive Tape,Silicone Elastomer,Gray,,UL 94 V-0,,https://www.mouser.com/ProductDetail/3M-Electronic-Specialty/5519-0.5?qs=B2toaPEvOxGGSU06l%252B3SwQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=5519-0.5&utm_content=3M-Electronic-Specialty
739-GF3127097C000100,57GF3127097C000100,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/MFS_DS_GOF3000_20210421-2401086.pdf,95  In Stock,46.16,12.7 mm,12.7 mm,9.7 mm,2 W/m-K,- 40 C,+ 80 C,,Thermal Gasket,Graphite-over-Foam (GOF),Polyurethane,Copper,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/57GF3127097C000100?qs=QNEnbhJQKvbr6kke4xt3uw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=57GF3127097C000100&utm_content=Laird-Performance-Materials
490-SF600G-303005,SF600G-303005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf600g-1779089.pdf,Non-Stocked Lead-Time 5 Weeks,47.89954578,30 mm,30 mm,0.5 mm,6 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Gray,15 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF600G-303005?qs=PqoDHHvF648JC%2FbtF%2FhnvQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF600G-303005&utm_content=CUI-Devices
490-AF500-202005,AF500-202005,CUI Devices,https://www.mouser.com/datasheet/2/670/af500-1776536.pdf,,51.322478,20 mm,20 mm,0.5 mm,3 W/m-K,- 45 C,+ 125 C,,Thermally Conductive Gap Pad,Thermal Pad,Non-Silicone Elastomer,Gray,30 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/CUI-Devices/AF500-202005?qs=PqoDHHvF64%2FARjEK1swJhw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AF500-202005&utm_content=CUI-Devices
490-SF500G-202005,SF500G-202005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf500g-1779119.pdf,Non-Stocked Lead-Time 5 Weeks,51.596671,20 mm,20 mm,0.5 mm,3.5 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Blue,25 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF500G-202005?qs=PqoDHHvF6480G8Ln2y726w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF500G-202005&utm_content=CUI-Devices
490-SF500G-202005,SF500G-202005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf500g-1779119.pdf,Non-Stocked Lead-Time 5 Weeks,51.596671,20 mm,20 mm,0.5 mm,3.5 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Blue,25 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF500G-202005?qs=PqoDHHvF6480G8Ln2y726w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF500G-202005&utm_content=CUI-Devices
490-SF500G-202005,SF500G-202005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf500g-1779119.pdf,Non-Stocked Lead-Time 5 Weeks,51.596671,20 mm,20 mm,0.5 mm,3.5 W/m-K,- 58 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Blue,25 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/SF500G-202005?qs=PqoDHHvF6480G8Ln2y726w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF500G-202005&utm_content=CUI-Devices
951-GF3500S3500602G,GF3500S35-00-60-2G,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-FILLER-TGF-3600-en_GL.pdf,Drop Ship Lead Time 8 Weeks,52.65308642,,,,3.6 W/m-K,- 60 C,+ 200 C,,Liquid Gap Filler,,Silicone,Blue,,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/GF3500S35-00-60-2G?qs=byeeYqUIh0PbwkOyd7Uktw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GF3500S35-00-60-2G&utm_content=Bergquist-Company
910-TC4-20G,TC4-20G,Chip Quik,https://www.mouser.com/datasheet/2/73/TC4_20G-2511378.pdf,3  In Stock,56.85,,,,79 W/m-K,- 40 C,+ 150 C,,Heat Sink Thermal Compound,Syringe,,Silver,,,,https://www.mouser.com/ProductDetail/Chip-Quik/TC4-20G?qs=Wj%2FVkw3K%252BMA%252BGf6J5%252BtRbQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TC4-20G&utm_content=Chip-Quik
739-A16887-112,A16887-112,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR_DS_TGON_800_1109-1634259.pdf,Non-Stocked,57.232,63.5 mm,50.8 mm,0.125 mm,5 W/m-K,- 240 C,+ 300 C,,Electrically and Thermally Conductive Interface Pad,Thermal Pad,Graphite,Gray,650 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16887-112?qs=hWgE7mdIu5SJWIcLA7v1DQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16887-112&utm_content=Laird-Performance-Materials
739-A16887-112,A16887-112,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR_DS_TGON_800_1109-1634259.pdf,Non-Stocked,57.232,63.5 mm,50.8 mm,0.125 mm,5 W/m-K,- 240 C,+ 300 C,,Electrically and Thermally Conductive Interface Pad,Thermal Pad,Graphite,Gray,650 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16887-112?qs=hWgE7mdIu5SJWIcLA7v1DQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16887-112&utm_content=Laird-Performance-Materials
567-GL-20-10,GL-20-10,Wakefield-Vette,https://www.mouser.com/datasheet/2/433/wakefield_102022_GL_20_10-3051223.pdf,86  In Stock,58.99849962,,,,3.5 W/m-K,- 55 C,+ 200 C,,Thermally Conductive Liquid Gap Filler,Gel Gap Filler,,Pink,,,,https://www.mouser.com/ProductDetail/Wakefield-Vette/GL-20-10?qs=0lSvoLzn4L%2FvUpuQ0VNlFA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GL-20-10&utm_content=Wakefield-Vette
567-GL-08-10,GL-08-10,Wakefield-Vette,https://www.mouser.com/datasheet/2/433/wakefield_102022_GL_20_10-3051223.pdf,45  In Stock,68.68,,,,2.4 W/m-K,- 55 C,+ 200 C,,Thermally Conductive Liquid Gap Filler,Gel Gap Filler,,Yellow,,,,https://www.mouser.com/ProductDetail/Wakefield-Vette/GL-08-10?qs=0lSvoLzn4L%2FjE2Bv70vbfA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GL-08-10&utm_content=Wakefield-Vette
490-AF500-301205,AF500-301205,CUI Devices,https://www.mouser.com/datasheet/2/670/af500-1776536.pdf,Non-Stocked Lead-Time 5 Weeks,76.77404,30 mm,12 mm,0.5 mm,3 W/m-K,- 45 C,+ 125 C,,Thermally Conductive Gap Pad,,Non-Silicone Elastomer,Gray,30 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/AF500-301205?qs=PqoDHHvF648M2rFhc9XqDA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AF500-301205&utm_content=CUI-Devices
490-AF200-151505,AF200-151505,CUI Devices,https://www.mouser.com/datasheet/2/670/af200-1776166.pdf,Non-Stocked Lead-Time 5 Weeks,77.161136,15 mm,15 mm,0.5 mm,2 W/m-K,- 45 C,+ 125 C,,Thermally Conductive Gap Pad,,Non-Silicone Elastomer,White,30 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/AF200-151505?qs=PqoDHHvF64%252B9GTgK8YphRw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AF200-151505&utm_content=CUI-Devices
490-AF200-151505,AF200-151505,CUI Devices,https://www.mouser.com/datasheet/2/670/af200-1776166.pdf,Non-Stocked Lead-Time 5 Weeks,77.161136,15 mm,15 mm,0.5 mm,2 W/m-K,- 45 C,+ 125 C,,Thermally Conductive Gap Pad,,Non-Silicone Elastomer,White,30 psi,,,https://www.mouser.com/ProductDetail/CUI-Devices/AF200-151505?qs=PqoDHHvF64%252B9GTgK8YphRw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AF200-151505&utm_content=CUI-Devices
739-A16872-09,A16872-09,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A16875-00_Tputty_403_DS_072018-1634085.pdf,16  In Stock,84.17104276,,,,2.3 W/m-K,- 45 C,+ 150 C,,Thermally Conductive Liquid Gap Filler,Thermal Pad,Silicone Elastomer,White,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16872-09?qs=vmHwEFxEFR934MPcgGcs0A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16872-09&utm_content=Laird-Performance-Materials
739-A16872-09,A16872-09,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A16875-00_Tputty_403_DS_072018-1634085.pdf,16  In Stock,84.17104276,,,,2.3 W/m-K,- 45 C,+ 150 C,,Thermally Conductive Liquid Gap Filler,Thermal Pad,Silicone Elastomer,White,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16872-09?qs=vmHwEFxEFR934MPcgGcs0A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16872-09&utm_content=Laird-Performance-Materials
739-A16872-09,A16872-09,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A16875-00_Tputty_403_DS_072018-1634085.pdf,16  In Stock,84.17104276,,,,2.3 W/m-K,- 45 C,+ 150 C,,Thermally Conductive Liquid Gap Filler,Thermal Pad,Silicone Elastomer,White,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16872-09?qs=vmHwEFxEFR934MPcgGcs0A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16872-09&utm_content=Laird-Performance-Materials
951-LF350000004.33G,LF3500-00-00-4.33G,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-LIQUI-FORM-TLF-LF3500-en_GL.pdf,Drop Ship Lead Time 8 Weeks,85.25382716,,,,3.5 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Liquid Formable Material,Thermal Conductive Gel Paste,Silicone Elastomer,Gray,,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/LF3500-00-00-4.33G?qs=byeeYqUIh0Ni04hrtPvWLA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LF3500-00-00-4.33G&utm_content=Bergquist-Company
951-LBSA2000-07-004G,LBSA2000-07-00-4G,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-LIQUI-BOND-TLB-SA2000-en_GL.pdf,Drop Ship Lead Time 4 Weeks,87.5762963,,,,2 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Liquid Adhesive,,Silicone Elastomer,Yellow,,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/LBSA2000-07-00-4G?qs=HoCaDK9Nz5eRkl8tp2QL3g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LBSA2000-07-00-4G&utm_content=Bergquist-Company
739-A15440-112,A15440-112,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR_DS_TGON_800_1109-1634259.pdf,Non-Stocked,89.9584,31.75 mm,31.75 mm,0.125 mm,5 W/m-K,- 240 C,+ 300 C,,Electrically and Thermally Conductive Interface Pad,,Graphite,Gray,650 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A15440-112?qs=hWgE7mdIu5SdUO9tupIKHw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A15440-112&utm_content=Laird-Performance-Materials
951-GF4500CVO002406G,GF4500CVO-00-240-6G,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-FILLER-TGF-4500CVO-en_GL.pdf,Drop Ship Lead Time 8 Weeks,92.75740741,,,,4.5 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Liquid Gap Filler,Liquid Gap Filler,Silicone Elastomer,"Pink, White",,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/GF4500CVO-00-240-6G?qs=A6eO%252BMLsxmSExjRe5Q3XOg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GF4500CVO-00-240-6G&utm_content=Bergquist-Company
